순위	키워드	빈도수	글 수
----------------------------------------
1	사람	47,271	9,571
2	사랑	42,127	9,539
3	마음	29,967	9,188
4	친구	21,606	3,108
5	생각	15,446	7,038
6	행복	14,727	5,269
7	세상	12,287	5,633
8	자신	9,687	4,414
9	신청	9,085	861
10	영상	8,331	8,174
11	시간	7,893	3,959
12	오늘	7,751	4,219
13	가슴	7,426	4,179
14	이미지	7,377	892
15	인생	7,323	2,997
16	편지지	6,502	843
17	기도	6,105	2,859
18	이야기	5,877	2,933
19	아이	5,864	1,582
20	편지	5,457	1,631
21	감사	5,444	2,457
22	하루	5,388	3,059
23	모습	5,270	2,882
24	어머니	5,101	981
25	말씀	4,938	2,015
26	눈물	4,486	2,482
27	시작	4,293	2,550
28	하늘	4,284	2,507
29	소리	4,165	2,404
30	엄마	4,150	914
31	하느님	4,062	1,153
32	바람	3,918	2,205
33	얼굴	3,829	2,295
34	향기	3,803	1,918
35	아버지	3,661	892
36	그리움	3,637	2,180
37	아내	3,598	835
38	가을	3,596	1,074
39	기쁨	3,519	2,280
40	아침	3,436	2,042
41	필요	3,291	2,136
42	순간	3,282	2,164
43	예수	3,259	1,540
44	신부	3,251	801
45	개설	3,234	814
46	남편	3,184	781
47	아들	3,062	926
48	동안	2,920	2,025
49	이름	2,913	1,840
50	미소	2,804	1,732
